claim_text,source_artifact_path,command_or_check_script,status
Abstract: strict top-1% set-leaving of 53--67% by horizons up to 20K tokens.,release/results/set_leaving/set_leaving.json; experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z/metrics.json,python release/src/scripts/reproduce_set_leaving.py --fast-verify; python release/src/scripts/reproduce_all.sh --fast-verify,verified
Abstract/Results: MATH-500 replication is within 0.02 of AIME-2025 rates on three measured models.,experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z/metrics.json,python experimental/outlier_migrate/phase9/check_stage1_e2_mathonly.py (packet check); paper table App. B,verified
"Results: final AIME strict set-leaving is 0.566 Granite, 0.534 Nemotron, 0.671 DeepSeek, 0.674 Falcon.",release/results/set_leaving/set_leaving.json,python release/src/scripts/reproduce_set_leaving.py --fast-verify,verified
"Results: MATH-500 strict leaving is 0.561 Granite, 0.651 DeepSeek, 0.675 Falcon.",experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z/metrics.json,packet metrics plus App. B cross-prompt table,verified
Results: random-bin control beats hard position-conditioned protection by 0.668 median recovery.,release/results/m2/m2.json; experimental/outlier_migrate/phase9/results/om_phase9_m2_granite_small_vac12_finalized_20260514T233800Z/metrics.json,python release/src/scripts/reproduce_m2.py --fast-verify,verified
Results: random scale-bin assignment beats hard scale bins by 0.761 median recovery.,release/results/m10/m10.json; experimental/outlier_migrate/phase9/results/om_phase9_m10_granite_small_vac12_20260515T085800Z/metrics.json,python release/src/scripts/reproduce_m10.py --fast-verify,verified
Results: M11 EMA top-1% median recovery is 0.048.,release/results/m11/m11.json; experimental/outlier_migrate/phase9/results/om_phase9_m11_granite_small_vac12_20260516T010728Z/metrics.json,python release/src/scripts/reproduce_m11.py --fast-verify,verified
Results: M18 activation+key coupling median recovery is -0.344 and random margin is 4.32.,release/results/m18/m18.json; experimental/outlier_migrate/phase9/results/om_phase9_m18_granite_small_vac12_20260516T193500Z/metrics.json,python release/src/scripts/reproduce_m18.py --fast-verify,verified
Results: DecDEC proxy median recovery is -0.070 and random-reactive margin is 1.19.,release/results/decdec/decdec.json; experimental/outlier_migrate/phase9/results/om_phase9_decdec_granite_small_vac12_20260517T141500Z/metrics.json,python release/src/scripts/reproduce_decdec.py --fast-verify,verified
Results: M26 stable-core protection median recovery is 0.178.,release/results/m26/m26.json; experimental/outlier_migrate/phase9/results/om_phase9_m26_granite_small_vac12_20260518T203000Z/metrics.json,python release/src/scripts/reproduce_m26.py --fast-verify,verified
Results: Granite M11b top-5 median recovery is 0.449 with wide CI.,release/results/m11b/m11b.json; experimental/outlier_migrate/phase9/results/om_phase9_m11b_granite_small_vac12_reuse_20260518T030300Z/metrics.json,python release/src/scripts/reproduce_m11b.py --fast-verify,verified
"Results: Nemotron M11b top-10 median recovery is 0.815, CI [0.158, 0.906], margin over static top-10 0.220.",experimental/outlier_migrate/phase9/results/om_phase9_m11b_nemotron_static1pct_salvage_20260524T2130Z/metrics.json,packet metrics/check script for Nemotron salvage,verified
Results: DeepSeek M11b top-10 median recovery is 0.335; static top-10 is 0.377.,experimental/outlier_migrate/phase9/results/om_v2_m11b_deepseek_20260527T1210Z/metrics.json,V2 packet metrics,verified
Results: Falcon M11b top-10 median recovery is 0.044; static top-10 is -0.025.,experimental/outlier_migrate/phase9/results/om_v2_m11b_falcon_20260527T1438Z/metrics.json,V2 packet metrics,verified
"Abstract/Results: ParoQuant-style recovery is 0.754 Granite, 1.047 Nemotron, 0.756 DeepSeek, 0.381 Falcon.",release/results/paroquant/paroquant.json; experimental/outlier_migrate/phase9/results/om_v1_paroquant_nemotron_20260528T0318Z/metrics.json; experimental/outlier_migrate/phase9/results/om_v1_paroquant_deepseek_20260528T162858Z/metrics.json; experimental/outlier_migrate/phase9/results/om_v1_paroquant_falcon_20260528T154653Z/metrics.json,python release/src/scripts/reproduce_paroquant.py --fast-verify; V1 check packets,verified
Results: ParoQuant beats Nemotron M11b top-10 by 0.232 median recovery.,artifacts/external_review_pack/v1_rotation_delta_pack_20260528_1506/tables/v1_vs_m11b_nemotron.csv,check_om_v1_paroquant_nemotron.py output in V1 pack,verified
